materias
Álgebra
Sistemas Digitales
Técnicas de Diseño de Algoritmos
Paradigmas de Programación
Arquitectura y Organización de Computadores
Ingeniería de Software
Sistemas Operativos
Algebra Lineal Computacional
Redes de Comunicaciones y Cómputo Distribuido
Lenguajes Formales, Autómatas y Computabilidad
Estadística Computacional
Programación Concurrente y Paralela
Complejidad Computacional
Almacenamiento y Recuperación de la Información
